,Text,Ground truth,Prediction,Probability
10,"strategies to encourage mammography use among women in senior citizens housing facilities Abstract Background. This randomized trial evaluated the impact of mammography‐enhancing interventions implemented in 40 senior citizens’ housing facilities in Pennsylvania and North Carolina. Methods. After stratification of the facilities according to the socioeconomic status and racial backgrounds of their residents, they were randomly assigned to one of four groups to receive the following: 1) standard care—a Medicare mammography benefit flier; 2) education— the flier and a community education program; 3) access—the flier, mammography appointments, and transportation; 4) combined—all interventions. Telephone surveys, conducted prior to any intervention, identified mammography‐eligible women, who were re‐surveyed six months later to ascertain mammography use. Results. Logistic regression analyses identified mammography intention, age, and the interaction between ever having had mammography and being in the combined intervention group to be significant predictors of mammography use at six months. Howeve...","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 1, 1, 0, 1]","[1.0239795074085123e-06, 0.9999991655349731, 1.062672890839167e-05, 1.2363214409560896e-05, 4.6625160621260875e-07, 0.9999978542327881, 0.9999991655349731, 5.537750666917418e-07, 0.9998773336410522]"
11,nan,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.5206380486488342, 0.14767660200595856, 0.029300503432750702, 0.6468120813369751, 0.009904056787490845, 0.06167744845151901, 0.39558669924736023, 0.0009167782845906913, 0.23250554502010345]"
12,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.5206380486488342, 0.14767660200595856, 0.029300503432750702, 0.6468120813369751, 0.009904056787490845, 0.06167744845151901, 0.39558669924736023, 0.0009167782845906913, 0.23250554502010345]"
13,"dancers in the dark scientific careers according to a gender blind model of promotion AbstractThe disparity between men and women in science is a hot topic in gender studies and a relevant target of scientific policies. The leaky pipeline metaphor illustrates the decreasing number of women along senior positions in academia; however many questions remain unanswered. What factors progressively diminish the number of women in scientific careers and why do they appear to be less successful than their male colleagues? In order to discover new insight, this work compares men’s and women’s career paths by taking into account academic and family milestones achieved throughout the life course. An innovative and interdisciplinary methodology (from bibliometrics, statistics, and sociology) has been constructed to examine men’s and women’s trajectories. Findings display gender differences in scientists’ trajectories. The evolution of scientists’ careers reveals linear careers for males, whilst women develop non-linear careers. Motherhood emerges as a problem for developing linear careers. And collegi...","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[4.5287598027243803e-07, 1.3112316992192063e-06, 0.00046055432176217437, 0.9999924898147583, 3.8281160641417955e-07, 3.75719628209481e-06, 1.8614182408782654e-06, 7.746252776996698e-07, 7.610254328938026e-07]"
14,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.5206380486488342, 0.14767660200595856, 0.029300503432750702, 0.6468120813369751, 0.009904056787490845, 0.06167744845151901, 0.39558669924736023, 0.0009167782845906913, 0.23250554502010345]"
15,"peer and community leader education to prevent youth violence The program described here tests the effectiveness of a community-based and school-based program to reduce violence among African-American and Hispanic adolescents. The program methods are based on social network theory research, which has found that key lay people in communities can be identified and trained to carry out prevention programs. The educational content is based on theories suggesting that characteristics of healthy, adaptive individuals and communities can be taught. A violence-prevention leadership program is provided to a cohort of middle-school student peer leaders and their parents and for the leaders of the neighborhoods around the middle schools. Three matched pairs of urban middle-school attendance zones were randomly assigned to receive either the intervention or serve as a nonintervention control group. Surveys, interviews, and observations were conducted with the peer leaders, their parents, community leaders, and community residents. Sixty-six percent of the peer leaders reported that they had hit someone in the past 30 days. Twenty-six percent of the sixth-graders had punched or beaten someone in the past 30 days. Within the past year, 6% of the adults had slapped or kicked someone. Within the past 30 days, 14% of the sixth-graders had been punched or beaten. Within the past year, 6% of the adults had been punched or beaten. A large percentage of adolescents are victims and perpetrators of violence and are exposed to violence in their neighborhoods. Violence-prevention strategies can be implemented through collaborations among health departments, community-based organizations, universities, and schools.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[2.854281774489209e-06, 0.9999990463256836, 8.228840670199133e-06, 5.5646992223046254e-06, 3.636324947819958e-07, 6.182698143675225e-06, 0.46938008069992065, 7.341787409131939e-07, 2.2931487819732865e-06]"
16,"undercounts and overstatements will the iom report on lesbian health improve research In January 1999, the Institute of Medicine (IOM) released a report on lesbian health research that fulfills 3 goals: it provides an extensive review of much of the research that has been done on the health of women who have sex with other women, it addresses the methodological and ethical issues inherent in conducting research on this population, and it suggests avenues for further research. This report will likely help lesbian health researchers gain funding, publish further research in medical journals, and receive support and validation from medical and research institutions. To ensure that such research is useful, benefits the lesbian community, and expands the understanding of lesbian health conditions, particular attention needs to be paid to the methods and definitions used and to the involvement of the lesbian community in designing, implementing, and analyzing the research itself.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 1]","[6.94769084930158e-07, 1.9850663193210494e-06, 1.0297789231117349e-05, 1.1066095794376452e-05, 4.078429469700495e-07, 1.4394964864550275e-06, 9.288039564125938e-07, 6.326566222014662e-07, 0.9999953508377075]"
17,"promoting handwashing and sanitation evidence from a large scale randomized trial in rural tanzania The association between hygiene, sanitation, and health is well documented, yet thousands of children die each year from exposure to contaminated fecal matter. At the same time, evidence on the effectiveness of at-scale behavior change interventions to improve sanitation and hygiene practices is limited. This paper presents the results of two large-scale, government-led handwashing and sanitation promotion campaigns in rural Tanzania. For the campaign, 181 wards were randomly assigned to receive sanitation promotion, handwashing promotion, both interventions together, or neither. One year after the end of the program, sanitation wards increased latrine construction rates from 38.6 to 51 percent and reduced regular open defecation from 23.1 to 11.1 percent. Households in handwashing wards show marginal improvements in handwashing behavior related to food preparation, but not at other critical junctures. Limited interaction is observed between handwashing and sanitation on intermediate outcomes: wards that received both handwashing and sanitation promotion are less likely to have feces visible around their latrine and more likely to have a handwashing station close to their latrine facility relative to individual treatment groups. Final health effects on child health measured through diarrhea, anemia, stunting, and wasting are absent in the single-intervention groups. The combined-treatment group produces statistically detectable, but biologically insignificant and inconsistent, health impacts. The results highlight the importance of focusing on intermediate outcomes of take-up and behavior change as a critical first step in large-scale programs before realizing the changes in health that sanitation and hygiene interventions aim to deliver.","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[1, 0, 1, 1, 1, 1, 0, 0, 0]","[0.9999996423721313, 1.2044272352795815e-06, 0.9977512955665588, 0.9999886751174927, 0.9999984502792358, 0.999997615814209, 1.0866576758417068e-06, 5.457363272398652e-07, 5.363336299524235e-07]"
18,race and childbirth Perspectives on South Asian mothers experiences of becoming pregnant the management of pregnancy preparation of birth and childbirth experiences experiences of postnatal care negotiating pragnancy and childbirth within extended households - two case studies of Gujarati women.,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[0, 1, 0, 1, 1, 0, 1, 0, 0]","[6.053356173651991e-06, 0.9999990463256836, 2.8847514840890653e-05, 0.9999619722366333, 0.9995393753051758, 5.8133937272941694e-05, 0.9999876022338867, 1.5844503877815441e-06, 0.0008543272269889712]"
19,physical education and femininity Summary Educationalists have voiced concern for a number of years about the differentiated response of boys and girls to physical education in the secondary school. The bulk of research has indicated that boys’ attitudes towards the subject tend to be more positive and that participation (in both curricular and extra‐curricular activities) is generally looked upon as being more readily compatible with prevailing notions of masculinity than femininity. In this paper we present the findings of a recent survey which suggests that girls may now be less likely than in the recent past to perceive PE as a ‘masculine’ subject.’,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[1.4971734572100104e-06, 1.6321587281709071e-06, 9.420984133612365e-05, 0.9999926090240479, 4.742615828945418e-07, 2.4526270863134414e-06, 2.0799307094421238e-06, 5.650076104757318e-07, 0.34260082244873047]"
20,"barriers to racial ethnic minority application and competition for nih research funding Data from both the concept mapping and the meeting discussions suggest the need to use a multilevel approach to increase minority representation among funded NIH investigators. Specifically, the NIH should use strategies that overcome barriers at the home institution, within NIH and at the investigator level.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[6.43909686459665e-07, 0.9999985694885254, 1.3772467355011031e-05, 1.3686026250070427e-05, 4.1534869410497777e-07, 2.504351641618996e-06, 1.58239379288716e-06, 7.61487171985209e-07, 7.633208838342398e-07]"
21,nan,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.5206380486488342, 0.14767660200595856, 0.029300503432750702, 0.6468120813369751, 0.009904056787490845, 0.06167744845151901, 0.39558669924736023, 0.0009167782845906913, 0.23250554502010345]"
22,"hiv prevention with male prostitutes and patrons of hustler bars replication of an hiv preventive intervention The core objectives of this study were to document the process by which a community-based organization replicated and adapted an experimentally developed intervention to its own use and to explore the effectiveness of that HIV prevention program for male prostitutes and other patrons in New York City “hustler” bars. The intervention model employed was based on previous research with gay men (Kelly, St. Lawrence, Diaz, et al., 1991; Kelly, St. Lawrence, Stevenson, et al., 1992) and inspired by diffusion of innovation theory (Rogers, 1995). The effects of the current intervention were assessed on a sample of 1,741 male prostitutes and bar patrons. Analyses indicated significant reductions in paid, unprotected sexual intercourse and oral sex following the intervention. Analyses further indicated that the data were partially consistent with the program s model, which specified that norms were the putative mediator of behavior change in the intervention. Also, the intervention s effects varied by bar and by participants race/ethnicity. Data support the utility of the intervention model for an urban sample of men at high risk for HIV infection. The importance of exploring the mechanisms that underlie the intervention is discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 0, 0, 0, 1]","[4.081252882315312e-06, 0.9999985694885254, 5.528009569388814e-05, 1.2742844774038531e-05, 3.642450963070587e-07, 3.6759902286576107e-06, 1.623459070287936e-06, 6.794383011765603e-07, 0.999971866607666]"
23,"understanding the relationship between parental income and multiple child outcomes a decomposition analysis In this paper we explore the association between family income and children’s cognitive ability (IQ and school performance), socio-emotional outcomes (self esteem, locus of control and behavioural problems) and physical health (risk of obesity). We develop a decomposition technique that allows us to compare the relative importance of the adverse family characteristics and home environments of low income children in accounting for different outcomes. Using rich cohort data from the UK we find that poor children are disadvantaged at age 7 to 9 across the full spectrum of outcomes, the gradient being strongest for cognitive outcomes and weakest for physical health. We find that some aspects of environment appear to be associated with the full range of outcomes - for example, maternal smoking and breastfeeding, child nutrition, parental psychological functioning. We also find some some aspects of the environment of higher income households hinder child development. We conclude that many aspects of growing up in poverty are harmful to children’s development, and that narrowly-targeted interventions are unlikely to have a significant impact on intergenerational mobility.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 0, 0]","[7.000673463153362e-07, 1.4183947314450052e-06, 1.8508701032260433e-05, 4.696334599429974e-06, 3.7326071833376773e-07, 3.4111419608962024e-06, 0.9999991655349731, 5.047371587352245e-07, 9.74545855569886e-07]"
24,"an early community based intervention for the prevention of substance abuse and other delinquent behavior This paper presents the results of an evaluation of an early intervention, risk-reduction strategy versus a standard intervention approach in the treatment of inner-city youth at high risk of adopting a deviant lifestyle. It examines baseline and 1-year follow-up information provided by 408 youth admitted to 2 community-based Baltimore City “Youth Bureaus” offering counseling services for neighborhood youth referred for delinquent and other problematic behavior. In the study, one of these bureaus served as the experimental intervention clinic and the other as the control, or standard intervention, clinic. Outcome measures involved substance abuse; sexual activity; contact with juvenile authorities; and delinquent activity, including violence-related activity. Regression analyses of outcome measures revealed significant differential results for delinquent activity, which favored the experimental intervention. Relationships between risk/protective factors and outcome are discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 0, 1, 0, 1]","[4.8487440835742746e-06, 0.9999908208847046, 0.0004308649804443121, 1.1831669326056726e-05, 3.9453681210943614e-07, 6.393890089384513e-06, 0.9994561076164246, 5.75333842789405e-07, 0.9774643778800964]"
25,"primary care trusts involving the community is community development the way forward Patient and user involvement is central to current government thinking on the NHS. More comprehensive approaches to organised community participation and community development have received less support and examples of effective and genuine participation in key areas such as primary care decision‐making are rare. The initiative described in this paper was established in Newcastle upon Tyne in 1995 to promote community participation in decision‐making about local health services. It has particular relevance to current concerns about addressing social exclusion and tackling health inequalities since it operates in an area of social disadvantage with a significant black and ethnic minority population (6 percent). This case study is based on an independent evaluation which used multiple research methods, including interviews, questionnaire surveys and direct observation, to assess the project’s practice and impact. Describes a community development approach to public participation. An emphasis on inclusive practices has facilitated meaningful involvement of minority groups such as ethnic minority residents and those with disabilities who tend to be marginalised in public debate. Argues that the project has made a significant impact on the ways in which local health services are planned and delivered.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 0, 1, 0, 1]","[2.449408384563867e-06, 0.9999992847442627, 1.6468089597765356e-05, 3.7178429010964464e-06, 3.7455657775353757e-07, 3.8034106637496734e-06, 0.9999957084655762, 1.0843471045518527e-06, 0.9991273283958435]"
26,"leader behaviors group cohesion and participation in a walking group program Introduction Less than half of all U.S. adults meet the 2008 Physical Activity Guidelines. Leader behaviors and group cohesion have been associated with increased participation or adherence in sports team and exercise class settings. Physical activity interventions in community settings that encompass these factors may enhance intervention adherence. The purpose of this study is to examine the impact of Community Health Promoter leader behaviors and group cohesion on participation in a walking group intervention among racially/ethnically diverse adults in low to moderate–income communities in Detroit, Michigan. Design Data for the current study were drawn from the Walk Your Heart to Health (WYHH) data set. WYHH was a multisite cluster RCT with a lagged intervention and outcome measurements at baseline and 4, 8, and 32 weeks. Pooled survey data from both intervention arms were used for the current study. Data were analyzed between August 2013 and October 2014. Setting/participants A total of 603 non-Hispanic black, non-Hispanic white, and Hispanic adults across five cohorts that began the 32-week WYHH intervention between March 2009 and October 2011. Intervention The intervention was a 32-week walking group program hosted by community- and faith-based organizations and facilitated by Community Health Promoters. Walking groups met three times per week for 90 minutes per session. To promote participation in or adherence to WYHH, Community Health Promoters used evidence-based strategies to facilitate group cohesion. Group members assumed increasing leadership responsibility for facilitating sessions over time. Main outcome measures Participation in WYHH as measured by consistency of attendance. Results Community Health Promoter leader behaviors were positively associated with participation in WYHH. Social but not task cohesion was significantly associated with consistent participation. Social cohesion may mediate the relationship between leader behaviors and walking group participation. Conclusions Providing leaders with training to build socially cohesive groups may help motivate individuals to continue participation in community-based physical activity programs.","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0, 1, 0, 1, 0, 1, 1, 0, 1]","[8.567379836676992e-07, 0.9999985694885254, 0.0007772460812702775, 0.9999836683273315, 3.3792542808441794e-07, 0.9999972581863403, 0.9999991655349731, 5.003385581403563e-07, 0.9999986886978149]"
