,Text,Ground truth,Prediction,Probability
10,"factors influencing postoperative satisfaction of orthognathic surgery patients The purpose of this study was to investigate the postoperative satisfaction of orthognathic surgery patients and related factors. The authors assessed 108 orthognathic surgery patients using the Minnesota Multiphasic Personality Inventory and the Symptom Checklist 90 preoperatively. The degree of deformity, expectations for surgery, and support of significant others were also evaluated before surgery. The patients were given questionnaires at 4 time points, from 10 days to 1 year after surgery. A multiple regression test was used to analyze the relative importance of psychologic factors and other variables in explaining the degree of patients satisfaction with surgery. Postoperative satisfaction was high and increased with time. Patients with more education and more severe deformities reported greater satisfaction. During the early stage after surgery, patients with a high degree of interpersonal sensitivity, whose close relatives did not support surgery, or who accepted surgery passively tended to be more dissatisfied. Patients who had realistic expectations were more satisfied in the long term. Complications such as pain and swelling influenced patients satisfaction soon after surgery, whereas the responses of people around the patients influenced their satisfaction at all stages postoperatively.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.378706693649292, 0.42882344126701355, 0.33833611011505127, 0.5338869690895081, 0.35809066891670227, 0.3531021475791931, 0.42430928349494934, 0.3331684470176697, 0.4148213267326355]"
11,"a survey of adolescent worry in northern ireland (1996). A Survey of Adolescent Worry In Northern Ireland. Pastoral Care in Education: Vol. 14, No. 2, pp. 26-32.","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3435409665107727, 0.4306025505065918, 0.34264686703681946, 0.5694684982299805, 0.35585927963256836, 0.32761961221694946, 0.45839178562164307, 0.3614731431007385, 0.37244489789009094]"
12,"the role of traffic free routes in encouraging cycling among excluded groups a case study of the national cycle network A detailed analysis of data dealing with bicyclists on traffic-free routes in the U.K., studied from the perspectives of gender, ethnicity, socioeconomic conditions, and age, is presented. Patterns of use within and between user groups and categories are examined and compared to national data on bicycling. The research brings to light a wide range of disparities between user groups in relation to such issues as trip purpose, bicyclist experience, propensity for modal shift, group size, and the location and attributes of routes concerned. The implications of this work are discussed in terms of policy and pragmatic concerns. Options for further study of the habitual causal factors behind bicycling on traffic-free routes, and the implications for policy and planning at national and regional levels, are considered.","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.37382662296295166, 0.4374651312828064, 0.33049362897872925, 0.548941969871521, 0.37207916378974915, 0.3355809450149536, 0.43804457783699036, 0.3324671685695648, 0.3914169669151306]"
13,"are primary care groups and trusts consulting local communities Primary care groups and trusts (PCG/Ts) in the English NHS were established in 1999 and have responsibility for providing and commissioning health-care for around 100 000 people. PCG/Ts are dominated by health professionals, but are responsible for representing the interests of the local community. This paper assesses how they have informed and consulted local communities and the perceived impact of this consultation on decision-making. The paper uses evidence from the National Tracker Survey of PCG/Ts, a longitudinal survey of 72 (15%) of the PCG/Ts in England, using data from telephone interviews with chairs and chief officers, and postal questionnaires to lay board members and representatives of Community Health Councils (CHCs). Eighty-one per cent of PCG/Ts had public involvement working groups. Methods of consulting the community included consulting CHCs (87%), holding public meetings (75%) and consulting local patient groups (67%). Only 31% of chairs felt they were effective at consulting. Ninety-two per cent of CHC representatives attended all board meetings. Most CHC representatives reported that there had been little or no consultation with the CHC in areas such as commissioning, service development or clinical governance. Only 14% of CHC representatives rated PCG/T consultation with the public as effective. Eighty-seven per cent said that local communities were largely unaware of the existence of PCG/Ts, and 70% commented on the weaknesses in PCG/T efforts at public consultation. Public participation is being taken seriously by PCG/Ts, but most are struggling to develop effective ways of involving local communities. Efforts to involve the public may become little more than token gestures. The proposed abolition of CHCs may make it more difficult for PCG/Ts to obtain a lay perspective. Effective consultation requires the development of new methods and adequate resources, but a stronger lay voice in the governance structures of PCG/Ts is needed.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3427663743495941, 0.43977251648902893, 0.35663285851478577, 0.5564882755279541, 0.3851942718029022, 0.29019108414649963, 0.4392804205417633, 0.35618993639945984, 0.38454702496528625]"
14,"mentoring as a drug prevention strategy an evaluation of across ages This article presents results of a three-year evaluation of Across Ages, an intergenerational approach to drug and alcohol prevention. The program consists of three major elements: 1) a mentoring program in which youths are matched with older adults who provide ongoing support and encouragement in weekly interactions; 2) community service activities designed to promote involvement with and better understanding of the frail elderly; and 3) a school-based like skills curriculum. Approximately 400 6th grade students in Springfield, Massachusetts, an ethnically diverse community with a large proportion of public school students living in low income families, took part in the evaluation over a three year period. Students classes were randomly assigned to one of three experimental conditions: the mentor condition, in which students received the life skills curriculum, communitiy service activities, and were assigned an elderly mentor; the curriculum condition, in which students received only the life skills curriculum and community service activities; and the control condition, in which students received no intervention. Youths involved in the study completed questionnaires on three occasions: prior to the initiation of program activities, at the conclusion of the program, and again six months following the cessation of the program activities. Results indicate that mentoring is associated with significantly lower levels of problem behavior and substance abuse and significantly higher levels of self-confidence, self-control, cooperation, and attachment to both the school and the family. Moreover, students receiving mentoring report significantly lower levels of alcohol use. In contrast, few positive effects of the life skills curriculum or community service activities are observed. (Abstract Adapted from Source: Adolescent & Family Health, 2000. Copyright © 2000 by the Institute for Youth Development) For more information on Across Ages, a Safe Communities ~ Safe Schools Favorable Program, see VioPro record number 2907. Juvenile Substance Use Child Substance Use Substance Use Prevention Drug Use Prevention Late Childhood Elementary School Student Grade 6 Elementary School Student Mentoring Prevention Program Program Evaluation Community Services Elder Adult Mentor Child Development Social Skills Development Prosocial Skills Youth Development Curriculum Child Self-Esteem Self-Esteem Development Child Behavior Child Problem Behavior Behavior Prevention SCSS Favorable Reference 04-02","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3580700755119324, 0.42171478271484375, 0.3439529538154602, 0.4892376661300659, 0.38472452759742737, 0.38347765803337097, 0.4386152923107147, 0.34919798374176025, 0.4171715974807739]"
15,"do basic psychological needs moderate relationships within the theory of planned behavior The effects of basic psychological need satisfaction from the self-determination theory on relationships within the theory of planned behavior (TPB) were examined in a prospective study. It was hypothesized that need satisfaction would moderate the relationship between intention and behavior and between intention and its proximal determinants. Participants (n = 250) completed measures of the TPB and psychological need satisfaction with respect to restrictive dietary behaviors. Moderated multiple regression analyses indicated that each psychological need moderated the effects of subjective norms on intention. Results suggest that individuals with high psychological need satisfaction tend to base their intentions on subjective norms to a greater extent compared with individuals with lower psychological need satisfaction. Epidemiological research suggests that rates of cardiovascular disease and obesity in industrialized nations are rising sharply and reaching epidemic proportions (World Health Organization, 1999). As a consequence, there is greater impetus to further understand the psychological antecedents and mechanisms underpinning the self-regulation of dieting behavior. Policymakers and health strategists have turned to theoretical models developed by social psychologists in search of models to understand these influential factors and processes (Hagger &","[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.38690313696861267, 0.43809399008750916, 0.3404429256916046, 0.5556977391242981, 0.3482532799243927, 0.3228245973587036, 0.4432612657546997, 0.350641131401062, 0.39698150753974915]"
16,"health promotion for people with disabilities development and evaluation of the living well with a disability program People with disabilities can benefit from health promotion opportunities to reduce the incidence and severity of secondary conditions that further limit their participation in society. This paper describes participatory action research (PAR) methods we used to develop, implement and evaluate the Living Well with a Disability program. Community-based agencies that provide information and referral services to people with disabilities (independent living centers funded under Title VII, Rehabilitation Act) recruited a convenience sample of 246 people with mobility impairments to participate in a randomly assigned, wait-list control health promotion intervention study. Paper-and-pencil outcome measures included the secondary conditions surveillance instrument, unhealthy days and health care utilization. Logistic regression on outcomes controlling for demographic variables and pre-test measures indicated reductions in all three outcome variables. People with mobility impairments who participated in the Living Well with a Disability program reported less limitation from secondary conditions, fewer unhealthy days and less health care utilization. PAR methods are particularly important to design useful interventions for this population.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.35975682735443115, 0.4221210479736328, 0.34608379006385803, 0.5386181473731995, 0.379935085773468, 0.30668437480926514, 0.44280514121055603, 0.3576660454273224, 0.37887367606163025]"
17,"use of emerging tobacco products in the united states This paper provides the first nationally representative estimates for use of four emerging products. Addressing the issue of land-line substitution with cell phones, we used a mixed-mode survey to obtain two representative samples of US adults. Of 3,240 eligible respondents contacted, 74% completed surveys. In the weighted analysis, 13.6% have tried at least one emerging tobacco product; 5.1% snus; 8.8% waterpipe; 0.6% dissolvable tobacco products; 1.8% electronic nicotine delivery systems (ENDS) products. Daily smokers (25.1%) and nondaily smokers (34.9%) were the most likely to have tried at least one of these products, compared to former smokers (17.2%) and never smokers (7.7%), P 24 have tried one of these products, P<.01. In multivariable analysis, current daily (5.5, 4.3–7.6), nondaily (6.1, 4.0–9.3), and former smoking status (2.7, 2.1–3.6) remained significant, as did young adults (2.2, 1.6–3.0); males (3.5, 2.8–4.5); higher educational attainment; some college (2.7, 1.7–4.2); college degree (2.0, 1.3–3.3). Use of these products raises concerns about nonsmokers being at risk for nicotine dependence and current smokers maintaining their dependence. Greater awareness of emerging tobacco product prevalence and the high risk demographic user groups might inform efforts to determine appropriate public health policy and regulatory action.","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.37585505843162537, 0.42546209692955017, 0.3428274691104889, 0.5510401725769043, 0.37202224135398865, 0.3320405185222626, 0.44597798585891724, 0.3630470633506775, 0.3916065990924835]"
18,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3657202124595642, 0.4667198657989502, 0.37803545594215393, 0.4929513931274414, 0.4427093267440796, 0.42820173501968384, 0.46578505635261536, 0.336398184299469, 0.44040191173553467]"
19,"the leadership alliance twenty years of developing a diverse research workforce The Leadership Alliance is a national academic consortium currently comprising 32 academic institutions including Ivy League and major-research and minority-serving institutions, including Historically Black Colleges and Universities (HBCUs). For 2 decades these institutions have worked collaboratively to train, mentor, and support underrepresented minority students from undergraduate through advanced graduate training programs. Effectively bridging the research capacity of Ivy League and leading research institutions with minority talent at HBCUs and minority-serving institutions, the Alliance has leveraged its long-standing partnership to develop and implement the Summer Research Early Identification Program (SR-EIP) and the Leadership Alliance National Symposium (LANS), proven programs for diversifying the pipeline of scholars. The objectives of this descriptive study are to demonstrate (a) the impact of these programs on student participants undergraduate learning experience, and (b) the subsequent a...","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3509175479412079, 0.4360062777996063, 0.3486592173576355, 0.49699997901916504, 0.3907628059387207, 0.3421868085861206, 0.4461367726325989, 0.3623771369457245, 0.4157261550426483]"
20,"do i really have to eat that a qualitative study of schoolchildren s food choices and preferences This study, conducted in 1994, set out to explore food preferences, eating behaviour and food choice with Primary 7 children (mean age 11 years) in a small primary school in Edinburgh. A qualitative methodological approach was adopted, utilising focus groups and observational techniques. Analysis of the data indicated food choice was not determined by the health attributes of food but rather that values of preference, play, socialisation and convenience were given a higher priority than health by the children when making food choices. Healthy foods were found to be associated with the concept of a proper meal and homemade foods. A different classification of foods based on like and dislike was proposed to explain children s food choice.","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.38100844621658325, 0.44923773407936096, 0.35892951488494873, 0.5168114304542542, 0.4002610445022583, 0.420301228761673, 0.43002980947494507, 0.33644574880599976, 0.41719573736190796]"
21,"pregnancy and parenthood in radiation oncology views and experiences survey proves results of a blinded prospective trainee parenting and career development assessment Purpose Medical training spans nearly a decade, during which many physicians traditionally begin families. Although childrearing responsibilities are shared by men and women in the modern era, differences in time allocated to child care by sex and its potential impact on residency experience merit discussion. Methods and Materials An anonymous, voluntary, 102-item survey was distributed to 540 current radiation oncology residents and 2014 graduates that asked about marital and parental status, pregnancy during residency, publication productivity, career aspirations, and experiences working with pregnant co-residents. Respondents with children were asked about childcare arrangements, and women who were pregnant during residency were asked about radiation safety, maternity leave, and breastfeeding experiences. Results A total of 190 respondents completed the survey, 107 men (56.3%) and 84 women (43.7%). Ninety-seven respondents (51.1%) were parents, and 84 (44.2%) reported a pregnancy during residency. Respondents with children more often were male (65% vs 47.3%; P =.014), in a higher level of training (79.3% vs 54.8% were PGY4 or higher; P =.001), were older (median age of 32, interquartile range [IQR]:31-35] vs age 30 [IQR: 29-33]; P P =.033), were married (99% vs 43%, respectively; P P P Conclusions Pregnancy and parenthood are common during residency. Female residents are frequently responsible for more childcare duties than males but have similar research productivity and career aspirations. Further investigation is critical to elucidate gender disparities in parenthood and career development.","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.36671215295791626, 0.42685770988464355, 0.34858816862106323, 0.5858719348907471, 0.3417341113090515, 0.33517080545425415, 0.42626574635505676, 0.3276749551296234, 0.39693474769592285]"
22,"humanistic and economic outcomes of pharmacist provided medication review in the community dwelling elderly a systematic review and meta analysis SummaryWhat is known and objective Recent reviews have shown that pharmacist-provided medication review in the elderly can improve clinical outcomes and reduce medication discrepancies compared with usual care. However, none determined whether these translate to improved humanistic and economic outcomes. This review sought to evaluate the effects of medication review on health-related quality of life (HRQoL) and healthcare costs in the elderly. Methods A systematic search of MEDLINE, EMBASE, CINAHL, Web of Science and the Cochrane library for studies published in English from inception to 31 August 2015 was conducted. The review included studies lasting at least 3 months that randomly assigned community-dwelling participants aged at least 65 years to receive either pharmacist-provided medication review or usual care. Studies set in nursing homes were excluded. Results and discussion The review identified 25 studies that included 15 341 participants and lasted between 3 and 36 months. Twenty and 13 studies reported HRQoL and economic outcomes, respectively. Overall, there was no significant difference in HRQoL and healthcare costs between pharmacist-provided medication review and usual care. Meta-analysis of studies that reported the 36-item Short-Form Health Survey found significant differences in favour of usual care in the body pain (mean difference: 2·94, 95% CI: 0·54–5·34, P = 0·02) and general health perception (mean difference: 1·83, 95% CI: 0·16–3·50, P = 0·03) domains, whereas there were no significant differences in other domains. Meta-analysis of the EuroQol-5D utility (mean difference: −0·01, 95% CI: −0·02–0·01, P = 0·57) and visual analogue scale (mean difference: 0·01, 95% CI: −3·24–3·26, P = 1·00) found no significant differences. Costs of hospitalization, medication and other healthcare resources consumed were similar between groups. What is new and conclusion Humanistic and economic outcomes of pharmacist-provided medication review were largely similar to those of usual care. Further research using more robust methodology is needed to determine whether improved medication management can improve HRQoL and reduce healthcare costs. Careful thought should be given to capturing relevant outcomes that reflect the potential benefits of this intervention.","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3700147271156311, 0.4431971609592438, 0.34638044238090515, 0.5539379715919495, 0.3460119366645813, 0.34023717045783997, 0.4237992763519287, 0.33323055505752563, 0.4046153426170349]"
23,"exclusion of elderly people from clinical research a descriptive study of published reports Conclusions reached in studies of young people cannot be extrapolated to elderly people.1 It is thus essential that elderly people are included in clinical studies. We set out to discover whether and to what extent studies published in medical journals exclude this section of the population. We examined all the original research papers in all the issues of the BMJ, Gut , the Lancet , and Thorax between 1 June 1996 and 1 June 1997. We excluded case studies and meta-analyses. We looked for a mention of age limit first in the abstract or the methods section of the papers, but we sometimes found it mentioned …","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.36257684230804443, 0.4339299499988556, 0.3435840308666229, 0.5418211817741394, 0.36286213994026184, 0.3442530333995819, 0.45018282532691956, 0.3271109163761139, 0.3934275805950165]"
