,Text,Ground truth,Prediction,Probability
10,"strategies to encourage mammography use among women in senior citizens housing facilities Abstract Background. This randomized trial evaluated the impact of mammography‐enhancing interventions implemented in 40 senior citizens’ housing facilities in Pennsylvania and North Carolina. Methods. After stratification of the facilities according to the socioeconomic status and racial backgrounds of their residents, they were randomly assigned to one of four groups to receive the following: 1) standard care—a Medicare mammography benefit flier; 2) education— the flier and a community education program; 3) access—the flier, mammography appointments, and transportation; 4) combined—all interventions. Telephone surveys, conducted prior to any intervention, identified mammography‐eligible women, who were re‐surveyed six months later to ascertain mammography use. Results. Logistic regression analyses identified mammography intention, age, and the interaction between ever having had mammography and being in the combined intervention group to be significant predictors of mammography use at six months. Howeve...","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0.24948826432228088, 0.9512922167778015, 0.10629144310951233, 0.09328850358724594, 0.027863118797540665, 0.8460529446601868, 0.994016170501709, 0.03292066603899002, 0.9418516159057617]"
11,nan,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.48412665724754333, 0.2847236394882202, 0.08852045238018036, 0.5276834964752197, 0.0879490077495575, 0.2066291868686676, 0.4177854061126709, 0.07343725860118866, 0.3287053108215332]"
12,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.48412665724754333, 0.2847236394882202, 0.08852045238018036, 0.5276834964752197, 0.0879490077495575, 0.2066291868686676, 0.4177854061126709, 0.07343725860118866, 0.3287053108215332]"
13,"dancers in the dark scientific careers according to a gender blind model of promotion AbstractThe disparity between men and women in science is a hot topic in gender studies and a relevant target of scientific policies. The leaky pipeline metaphor illustrates the decreasing number of women along senior positions in academia; however many questions remain unanswered. What factors progressively diminish the number of women in scientific careers and why do they appear to be less successful than their male colleagues? In order to discover new insight, this work compares men’s and women’s career paths by taking into account academic and family milestones achieved throughout the life course. An innovative and interdisciplinary methodology (from bibliometrics, statistics, and sociology) has been constructed to examine men’s and women’s trajectories. Findings display gender differences in scientists’ trajectories. The evolution of scientists’ careers reveals linear careers for males, whilst women develop non-linear careers. Motherhood emerges as a problem for developing linear careers. And collegi...","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.055015526711940765, 0.045138753950595856, 0.023691970854997635, 0.9843561053276062, 0.01565208099782467, 0.01715973950922489, 0.03377705439925194, 0.011477109976112843, 0.014708463102579117]"
14,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.48412665724754333, 0.2847236394882202, 0.08852045238018036, 0.5276834964752197, 0.0879490077495575, 0.2066291868686676, 0.4177854061126709, 0.07343725860118866, 0.3287053108215332]"
15,"peer and community leader education to prevent youth violence The program described here tests the effectiveness of a community-based and school-based program to reduce violence among African-American and Hispanic adolescents. The program methods are based on social network theory research, which has found that key lay people in communities can be identified and trained to carry out prevention programs. The educational content is based on theories suggesting that characteristics of healthy, adaptive individuals and communities can be taught. A violence-prevention leadership program is provided to a cohort of middle-school student peer leaders and their parents and for the leaders of the neighborhoods around the middle schools. Three matched pairs of urban middle-school attendance zones were randomly assigned to receive either the intervention or serve as a nonintervention control group. Surveys, interviews, and observations were conducted with the peer leaders, their parents, community leaders, and community residents. Sixty-six percent of the peer leaders reported that they had hit someone in the past 30 days. Twenty-six percent of the sixth-graders had punched or beaten someone in the past 30 days. Within the past year, 6% of the adults had slapped or kicked someone. Within the past 30 days, 14% of the sixth-graders had been punched or beaten. Within the past year, 6% of the adults had been punched or beaten. A large percentage of adolescents are victims and perpetrators of violence and are exposed to violence in their neighborhoods. Violence-prevention strategies can be implemented through collaborations among health departments, community-based organizations, universities, and schools.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.2061757594347, 0.9573343992233276, 0.01746675744652748, 0.0031133724842220545, 0.01512188371270895, 0.04648195952177048, 0.9504875540733337, 0.016608374193310738, 0.03689281642436981]"
16,"undercounts and overstatements will the iom report on lesbian health improve research In January 1999, the Institute of Medicine (IOM) released a report on lesbian health research that fulfills 3 goals: it provides an extensive review of much of the research that has been done on the health of women who have sex with other women, it addresses the methodological and ethical issues inherent in conducting research on this population, and it suggests avenues for further research. This report will likely help lesbian health researchers gain funding, publish further research in medical journals, and receive support and validation from medical and research institutions. To ensure that such research is useful, benefits the lesbian community, and expands the understanding of lesbian health conditions, particular attention needs to be paid to the methods and definitions used and to the involvement of the lesbian community in designing, implementing, and analyzing the research itself.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.01064092293381691, 0.10960491746664047, 0.02598521113395691, 0.004786679986864328, 0.03711339831352234, 0.018793750554323196, 0.24327126145362854, 0.02031947858631611, 0.9107428193092346]"
17,"promoting handwashing and sanitation evidence from a large scale randomized trial in rural tanzania The association between hygiene, sanitation, and health is well documented, yet thousands of children die each year from exposure to contaminated fecal matter. At the same time, evidence on the effectiveness of at-scale behavior change interventions to improve sanitation and hygiene practices is limited. This paper presents the results of two large-scale, government-led handwashing and sanitation promotion campaigns in rural Tanzania. For the campaign, 181 wards were randomly assigned to receive sanitation promotion, handwashing promotion, both interventions together, or neither. One year after the end of the program, sanitation wards increased latrine construction rates from 38.6 to 51 percent and reduced regular open defecation from 23.1 to 11.1 percent. Households in handwashing wards show marginal improvements in handwashing behavior related to food preparation, but not at other critical junctures. Limited interaction is observed between handwashing and sanitation on intermediate outcomes: wards that received both handwashing and sanitation promotion are less likely to have feces visible around their latrine and more likely to have a handwashing station close to their latrine facility relative to individual treatment groups. Final health effects on child health measured through diarrhea, anemia, stunting, and wasting are absent in the single-intervention groups. The combined-treatment group produces statistically detectable, but biologically insignificant and inconsistent, health impacts. The results highlight the importance of focusing on intermediate outcomes of take-up and behavior change as a critical first step in large-scale programs before realizing the changes in health that sanitation and hygiene interventions aim to deliver.","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[0.9264481067657471, 0.05919012427330017, 0.9434136748313904, 0.970779299736023, 0.8381608724594116, 0.9722139239311218, 0.3251247704029083, 0.27158236503601074, 0.09350131452083588]"
18,race and childbirth Perspectives on South Asian mothers experiences of becoming pregnant the management of pregnancy preparation of birth and childbirth experiences experiences of postnatal care negotiating pragnancy and childbirth within extended households - two case studies of Gujarati women.,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.03447214514017105, 0.9055502414703369, 0.01780032180249691, 0.4994092285633087, 0.021599626168608665, 0.07166951149702072, 0.8610532283782959, 0.01581312157213688, 0.9723607897758484]"
19,physical education and femininity Summary Educationalists have voiced concern for a number of years about the differentiated response of boys and girls to physical education in the secondary school. The bulk of research has indicated that boys’ attitudes towards the subject tend to be more positive and that participation (in both curricular and extra‐curricular activities) is generally looked upon as being more readily compatible with prevailing notions of masculinity than femininity. In this paper we present the findings of a recent survey which suggests that girls may now be less likely than in the recent past to perceive PE as a ‘masculine’ subject.’,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.01758599281311035, 0.05203412100672722, 0.026481179520487785, 0.9753680229187012, 0.03730067238211632, 0.01996232010424137, 0.36238962411880493, 0.01769849844276905, 0.034907568246126175]"
20,"barriers to racial ethnic minority application and competition for nih research funding Data from both the concept mapping and the meeting discussions suggest the need to use a multilevel approach to increase minority representation among funded NIH investigators. Specifically, the NIH should use strategies that overcome barriers at the home institution, within NIH and at the investigator level.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.016479400917887688, 0.9879879951477051, 0.009773805737495422, 0.14966239035129547, 0.023067744448781013, 0.02431635558605194, 0.04554411768913269, 0.008421968668699265, 0.029893800616264343]"
21,nan,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.48412665724754333, 0.2847236394882202, 0.08852045238018036, 0.5276834964752197, 0.0879490077495575, 0.2066291868686676, 0.4177854061126709, 0.07343725860118866, 0.3287053108215332]"
22,"hiv prevention with male prostitutes and patrons of hustler bars replication of an hiv preventive intervention The core objectives of this study were to document the process by which a community-based organization replicated and adapted an experimentally developed intervention to its own use and to explore the effectiveness of that HIV prevention program for male prostitutes and other patrons in New York City “hustler” bars. The intervention model employed was based on previous research with gay men (Kelly, St. Lawrence, Diaz, et al., 1991; Kelly, St. Lawrence, Stevenson, et al., 1992) and inspired by diffusion of innovation theory (Rogers, 1995). The effects of the current intervention were assessed on a sample of 1,741 male prostitutes and bar patrons. Analyses indicated significant reductions in paid, unprotected sexual intercourse and oral sex following the intervention. Analyses further indicated that the data were partially consistent with the program s model, which specified that norms were the putative mediator of behavior change in the intervention. Also, the intervention s effects varied by bar and by participants race/ethnicity. Data support the utility of the intervention model for an urban sample of men at high risk for HIV infection. The importance of exploring the mechanisms that underlie the intervention is discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.009473209269344807, 0.9647417664527893, 0.006588707212358713, 0.6770023107528687, 0.026219746097922325, 0.01714077964425087, 0.05985676124691963, 0.00951024703681469, 0.3750961422920227]"
23,"understanding the relationship between parental income and multiple child outcomes a decomposition analysis In this paper we explore the association between family income and children’s cognitive ability (IQ and school performance), socio-emotional outcomes (self esteem, locus of control and behavioural problems) and physical health (risk of obesity). We develop a decomposition technique that allows us to compare the relative importance of the adverse family characteristics and home environments of low income children in accounting for different outcomes. Using rich cohort data from the UK we find that poor children are disadvantaged at age 7 to 9 across the full spectrum of outcomes, the gradient being strongest for cognitive outcomes and weakest for physical health. We find that some aspects of environment appear to be associated with the full range of outcomes - for example, maternal smoking and breastfeeding, child nutrition, parental psychological functioning. We also find some some aspects of the environment of higher income households hinder child development. We conclude that many aspects of growing up in poverty are harmful to children’s development, and that narrowly-targeted interventions are unlikely to have a significant impact on intergenerational mobility.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.021973593160510063, 0.03293418139219284, 0.017715932801365852, 0.043909162282943726, 0.012145567685365677, 0.029545947909355164, 0.9771018624305725, 0.024379102513194084, 0.05027496814727783]"
24,"an early community based intervention for the prevention of substance abuse and other delinquent behavior This paper presents the results of an evaluation of an early intervention, risk-reduction strategy versus a standard intervention approach in the treatment of inner-city youth at high risk of adopting a deviant lifestyle. It examines baseline and 1-year follow-up information provided by 408 youth admitted to 2 community-based Baltimore City “Youth Bureaus” offering counseling services for neighborhood youth referred for delinquent and other problematic behavior. In the study, one of these bureaus served as the experimental intervention clinic and the other as the control, or standard intervention, clinic. Outcome measures involved substance abuse; sexual activity; contact with juvenile authorities; and delinquent activity, including violence-related activity. Regression analyses of outcome measures revealed significant differential results for delinquent activity, which favored the experimental intervention. Relationships between risk/protective factors and outcome are discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.017121879383921623, 0.2779397666454315, 0.004926599562168121, 0.02252388745546341, 0.014858587644994259, 0.006766615901142359, 0.44326454401016235, 0.007741787936538458, 0.6235965490341187]"
25,"primary care trusts involving the community is community development the way forward Patient and user involvement is central to current government thinking on the NHS. More comprehensive approaches to organised community participation and community development have received less support and examples of effective and genuine participation in key areas such as primary care decision‐making are rare. The initiative described in this paper was established in Newcastle upon Tyne in 1995 to promote community participation in decision‐making about local health services. It has particular relevance to current concerns about addressing social exclusion and tackling health inequalities since it operates in an area of social disadvantage with a significant black and ethnic minority population (6 percent). This case study is based on an independent evaluation which used multiple research methods, including interviews, questionnaire surveys and direct observation, to assess the project’s practice and impact. Describes a community development approach to public participation. An emphasis on inclusive practices has facilitated meaningful involvement of minority groups such as ethnic minority residents and those with disabilities who tend to be marginalised in public debate. Argues that the project has made a significant impact on the ways in which local health services are planned and delivered.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.07259836792945862, 0.9664878249168396, 0.007440201938152313, 0.019506899639964104, 0.021238557994365692, 0.005421736743301153, 0.7834659218788147, 0.018364058807492256, 0.06487885862588882]"
26,"leader behaviors group cohesion and participation in a walking group program Introduction Less than half of all U.S. adults meet the 2008 Physical Activity Guidelines. Leader behaviors and group cohesion have been associated with increased participation or adherence in sports team and exercise class settings. Physical activity interventions in community settings that encompass these factors may enhance intervention adherence. The purpose of this study is to examine the impact of Community Health Promoter leader behaviors and group cohesion on participation in a walking group intervention among racially/ethnically diverse adults in low to moderate–income communities in Detroit, Michigan. Design Data for the current study were drawn from the Walk Your Heart to Health (WYHH) data set. WYHH was a multisite cluster RCT with a lagged intervention and outcome measurements at baseline and 4, 8, and 32 weeks. Pooled survey data from both intervention arms were used for the current study. Data were analyzed between August 2013 and October 2014. Setting/participants A total of 603 non-Hispanic black, non-Hispanic white, and Hispanic adults across five cohorts that began the 32-week WYHH intervention between March 2009 and October 2011. Intervention The intervention was a 32-week walking group program hosted by community- and faith-based organizations and facilitated by Community Health Promoters. Walking groups met three times per week for 90 minutes per session. To promote participation in or adherence to WYHH, Community Health Promoters used evidence-based strategies to facilitate group cohesion. Group members assumed increasing leadership responsibility for facilitating sessions over time. Main outcome measures Participation in WYHH as measured by consistency of attendance. Results Community Health Promoter leader behaviors were positively associated with participation in WYHH. Social but not task cohesion was significantly associated with consistent participation. Social cohesion may mediate the relationship between leader behaviors and walking group participation. Conclusions Providing leaders with training to build socially cohesive groups may help motivate individuals to continue participation in community-based physical activity programs.","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.005267101805657148, 0.9679397344589233, 0.00960508268326521, 0.5530032515525818, 0.014058029279112816, 0.07521582394838333, 0.8483549356460571, 0.015262375585734844, 0.4467213749885559]"
