,Text,Ground truth,Prediction,Probability
10,"strategies to encourage mammography use among women in senior citizens housing facilities Abstract Background. This randomized trial evaluated the impact of mammography‐enhancing interventions implemented in 40 senior citizens’ housing facilities in Pennsylvania and North Carolina. Methods. After stratification of the facilities according to the socioeconomic status and racial backgrounds of their residents, they were randomly assigned to one of four groups to receive the following: 1) standard care—a Medicare mammography benefit flier; 2) education— the flier and a community education program; 3) access—the flier, mammography appointments, and transportation; 4) combined—all interventions. Telephone surveys, conducted prior to any intervention, identified mammography‐eligible women, who were re‐surveyed six months later to ascertain mammography use. Results. Logistic regression analyses identified mammography intention, age, and the interaction between ever having had mammography and being in the combined intervention group to be significant predictors of mammography use at six months. Howeve...","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 1, 1, 0, 1]","[1.4605704564019106e-05, 0.9999988079071045, 1.5973251947798417e-06, 0.00029492334579117596, 9.73037685980671e-07, 0.7441775798797607, 0.9999986886978149, 4.817751459995634e-07, 0.9999864101409912]"
11,nan,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.44133782386779785, 0.0648006871342659, 0.025813661515712738, 0.7638229727745056, 0.010490535758435726, 0.01954914629459381, 0.39800742268562317, 0.0030569357331842184, 0.19406773149967194]"
12,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.44133782386779785, 0.0648006871342659, 0.025813661515712738, 0.7638229727745056, 0.010490535758435726, 0.01954914629459381, 0.39800742268562317, 0.0030569357331842184, 0.19406773149967194]"
13,"dancers in the dark scientific careers according to a gender blind model of promotion AbstractThe disparity between men and women in science is a hot topic in gender studies and a relevant target of scientific policies. The leaky pipeline metaphor illustrates the decreasing number of women along senior positions in academia; however many questions remain unanswered. What factors progressively diminish the number of women in scientific careers and why do they appear to be less successful than their male colleagues? In order to discover new insight, this work compares men’s and women’s career paths by taking into account academic and family milestones achieved throughout the life course. An innovative and interdisciplinary methodology (from bibliometrics, statistics, and sociology) has been constructed to examine men’s and women’s trajectories. Findings display gender differences in scientists’ trajectories. The evolution of scientists’ careers reveals linear careers for males, whilst women develop non-linear careers. Motherhood emerges as a problem for developing linear careers. And collegi...","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[3.707034011313226e-06, 1.021743742057879e-06, 1.1516533504618565e-06, 0.9999732971191406, 7.843678986318992e-07, 1.6809359294711612e-05, 1.8192559991803137e-06, 5.95252231505583e-07, 4.388329671201063e-06]"
14,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.44133782386779785, 0.0648006871342659, 0.025813661515712738, 0.7638229727745056, 0.010490535758435726, 0.01954914629459381, 0.39800742268562317, 0.0030569357331842184, 0.19406773149967194]"
15,"peer and community leader education to prevent youth violence The program described here tests the effectiveness of a community-based and school-based program to reduce violence among African-American and Hispanic adolescents. The program methods are based on social network theory research, which has found that key lay people in communities can be identified and trained to carry out prevention programs. The educational content is based on theories suggesting that characteristics of healthy, adaptive individuals and communities can be taught. A violence-prevention leadership program is provided to a cohort of middle-school student peer leaders and their parents and for the leaders of the neighborhoods around the middle schools. Three matched pairs of urban middle-school attendance zones were randomly assigned to receive either the intervention or serve as a nonintervention control group. Surveys, interviews, and observations were conducted with the peer leaders, their parents, community leaders, and community residents. Sixty-six percent of the peer leaders reported that they had hit someone in the past 30 days. Twenty-six percent of the sixth-graders had punched or beaten someone in the past 30 days. Within the past year, 6% of the adults had slapped or kicked someone. Within the past 30 days, 14% of the sixth-graders had been punched or beaten. Within the past year, 6% of the adults had been punched or beaten. A large percentage of adolescents are victims and perpetrators of violence and are exposed to violence in their neighborhoods. Violence-prevention strategies can be implemented through collaborations among health departments, community-based organizations, universities, and schools.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0, 0, 0, 0]","[0.9999051094055176, 0.9999964237213135, 7.797006560394948e-07, 5.0009723054245114e-05, 1.1641812989182654e-06, 9.892104571918026e-06, 8.180153236025944e-05, 1.3835319805366453e-06, 5.678480647475226e-06]"
16,"undercounts and overstatements will the iom report on lesbian health improve research In January 1999, the Institute of Medicine (IOM) released a report on lesbian health research that fulfills 3 goals: it provides an extensive review of much of the research that has been done on the health of women who have sex with other women, it addresses the methodological and ethical issues inherent in conducting research on this population, and it suggests avenues for further research. This report will likely help lesbian health researchers gain funding, publish further research in medical journals, and receive support and validation from medical and research institutions. To ensure that such research is useful, benefits the lesbian community, and expands the understanding of lesbian health conditions, particular attention needs to be paid to the methods and definitions used and to the involvement of the lesbian community in designing, implementing, and analyzing the research itself.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 1]","[1.828037784434855e-05, 1.4673520354335778e-06, 1.2780895985997631e-06, 8.051007898757234e-05, 9.204342745761096e-07, 4.874932074017124e-06, 1.1315886467855307e-06, 6.633289331148262e-07, 0.9997902512550354]"
17,"promoting handwashing and sanitation evidence from a large scale randomized trial in rural tanzania The association between hygiene, sanitation, and health is well documented, yet thousands of children die each year from exposure to contaminated fecal matter. At the same time, evidence on the effectiveness of at-scale behavior change interventions to improve sanitation and hygiene practices is limited. This paper presents the results of two large-scale, government-led handwashing and sanitation promotion campaigns in rural Tanzania. For the campaign, 181 wards were randomly assigned to receive sanitation promotion, handwashing promotion, both interventions together, or neither. One year after the end of the program, sanitation wards increased latrine construction rates from 38.6 to 51 percent and reduced regular open defecation from 23.1 to 11.1 percent. Households in handwashing wards show marginal improvements in handwashing behavior related to food preparation, but not at other critical junctures. Limited interaction is observed between handwashing and sanitation on intermediate outcomes: wards that received both handwashing and sanitation promotion are less likely to have feces visible around their latrine and more likely to have a handwashing station close to their latrine facility relative to individual treatment groups. Final health effects on child health measured through diarrhea, anemia, stunting, and wasting are absent in the single-intervention groups. The combined-treatment group produces statistically detectable, but biologically insignificant and inconsistent, health impacts. The results highlight the importance of focusing on intermediate outcomes of take-up and behavior change as a critical first step in large-scale programs before realizing the changes in health that sanitation and hygiene interventions aim to deliver.","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[1, 0, 1, 1, 1, 1, 0, 0, 0]","[0.9999982118606567, 1.3086781791571411e-06, 0.9999988079071045, 0.9997987151145935, 0.9998290538787842, 0.999890923500061, 1.6637027329124976e-06, 7.263605539264972e-07, 2.907620000769384e-06]"
18,race and childbirth Perspectives on South Asian mothers experiences of becoming pregnant the management of pregnancy preparation of birth and childbirth experiences experiences of postnatal care negotiating pragnancy and childbirth within extended households - two case studies of Gujarati women.,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[0, 1, 0, 1, 0, 0, 0, 0, 0]","[3.3920496207429096e-05, 0.9999836683273315, 2.7851172035298077e-06, 0.9883578419685364, 1.739984145388007e-05, 0.003916045650839806, 0.023673254996538162, 1.0839582955668448e-06, 2.772323932731524e-05]"
19,physical education and femininity Summary Educationalists have voiced concern for a number of years about the differentiated response of boys and girls to physical education in the secondary school. The bulk of research has indicated that boys’ attitudes towards the subject tend to be more positive and that participation (in both curricular and extra‐curricular activities) is generally looked upon as being more readily compatible with prevailing notions of masculinity than femininity. In this paper we present the findings of a recent survey which suggests that girls may now be less likely than in the recent past to perceive PE as a ‘masculine’ subject.’,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.0006979272584430873, 9.347265290671203e-07, 7.78150365476904e-07, 0.9999570846557617, 1.41901023198443e-06, 1.8846352759283036e-05, 1.3571681165558402e-06, 9.845309705269756e-07, 0.001860742224380374]"
20,"barriers to racial ethnic minority application and competition for nih research funding Data from both the concept mapping and the meeting discussions suggest the need to use a multilevel approach to increase minority representation among funded NIH investigators. Specifically, the NIH should use strategies that overcome barriers at the home institution, within NIH and at the investigator level.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[4.527483270067023e-06, 0.9999991655349731, 5.798229949505185e-07, 9.620712808100507e-05, 6.61967078485759e-07, 4.374766376713524e-06, 9.890961791825248e-07, 6.413014261852368e-07, 4.721496225101873e-06]"
21,nan,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.44133782386779785, 0.0648006871342659, 0.025813661515712738, 0.7638229727745056, 0.010490535758435726, 0.01954914629459381, 0.39800742268562317, 0.0030569357331842184, 0.19406773149967194]"
22,"hiv prevention with male prostitutes and patrons of hustler bars replication of an hiv preventive intervention The core objectives of this study were to document the process by which a community-based organization replicated and adapted an experimentally developed intervention to its own use and to explore the effectiveness of that HIV prevention program for male prostitutes and other patrons in New York City “hustler” bars. The intervention model employed was based on previous research with gay men (Kelly, St. Lawrence, Diaz, et al., 1991; Kelly, St. Lawrence, Stevenson, et al., 1992) and inspired by diffusion of innovation theory (Rogers, 1995). The effects of the current intervention were assessed on a sample of 1,741 male prostitutes and bar patrons. Analyses indicated significant reductions in paid, unprotected sexual intercourse and oral sex following the intervention. Analyses further indicated that the data were partially consistent with the program s model, which specified that norms were the putative mediator of behavior change in the intervention. Also, the intervention s effects varied by bar and by participants race/ethnicity. Data support the utility of the intervention model for an urban sample of men at high risk for HIV infection. The importance of exploring the mechanisms that underlie the intervention is discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 0, 0, 0, 1]","[6.634828605456278e-05, 0.9999986886978149, 5.607844855148869e-07, 5.761807187809609e-05, 1.5334674117184477e-06, 7.58719079385628e-06, 5.021195192966843e-06, 4.750977495859843e-07, 0.9954469799995422]"
23,"understanding the relationship between parental income and multiple child outcomes a decomposition analysis In this paper we explore the association between family income and children’s cognitive ability (IQ and school performance), socio-emotional outcomes (self esteem, locus of control and behavioural problems) and physical health (risk of obesity). We develop a decomposition technique that allows us to compare the relative importance of the adverse family characteristics and home environments of low income children in accounting for different outcomes. Using rich cohort data from the UK we find that poor children are disadvantaged at age 7 to 9 across the full spectrum of outcomes, the gradient being strongest for cognitive outcomes and weakest for physical health. We find that some aspects of environment appear to be associated with the full range of outcomes - for example, maternal smoking and breastfeeding, child nutrition, parental psychological functioning. We also find some some aspects of the environment of higher income households hinder child development. We conclude that many aspects of growing up in poverty are harmful to children’s development, and that narrowly-targeted interventions are unlikely to have a significant impact on intergenerational mobility.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 0, 0]","[6.653183663729578e-05, 2.0772706648131134e-06, 1.0891706097027054e-06, 5.793470700155012e-05, 1.0854623724299017e-06, 4.679520316130947e-06, 0.9999990463256836, 4.98896270073601e-07, 5.065511231805431e-06]"
24,"an early community based intervention for the prevention of substance abuse and other delinquent behavior This paper presents the results of an evaluation of an early intervention, risk-reduction strategy versus a standard intervention approach in the treatment of inner-city youth at high risk of adopting a deviant lifestyle. It examines baseline and 1-year follow-up information provided by 408 youth admitted to 2 community-based Baltimore City “Youth Bureaus” offering counseling services for neighborhood youth referred for delinquent and other problematic behavior. In the study, one of these bureaus served as the experimental intervention clinic and the other as the control, or standard intervention, clinic. Outcome measures involved substance abuse; sexual activity; contact with juvenile authorities; and delinquent activity, including violence-related activity. Regression analyses of outcome measures revealed significant differential results for delinquent activity, which favored the experimental intervention. Relationships between risk/protective factors and outcome are discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 0, 1, 0, 1]","[0.001826398423872888, 0.9998788833618164, 1.1074563417423633e-06, 4.1173432691721246e-05, 7.864074405006249e-07, 9.048178981174715e-06, 0.9994651675224304, 4.4544600541485124e-07, 0.9997339844703674]"
25,"primary care trusts involving the community is community development the way forward Patient and user involvement is central to current government thinking on the NHS. More comprehensive approaches to organised community participation and community development have received less support and examples of effective and genuine participation in key areas such as primary care decision‐making are rare. The initiative described in this paper was established in Newcastle upon Tyne in 1995 to promote community participation in decision‐making about local health services. It has particular relevance to current concerns about addressing social exclusion and tackling health inequalities since it operates in an area of social disadvantage with a significant black and ethnic minority population (6 percent). This case study is based on an independent evaluation which used multiple research methods, including interviews, questionnaire surveys and direct observation, to assess the project’s practice and impact. Describes a community development approach to public participation. An emphasis on inclusive practices has facilitated meaningful involvement of minority groups such as ethnic minority residents and those with disabilities who tend to be marginalised in public debate. Argues that the project has made a significant impact on the ways in which local health services are planned and delivered.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.005383459385484457, 0.999998927116394, 2.3711181711405516e-06, 5.93302320339717e-05, 8.472284207527991e-07, 5.54113466932904e-06, 0.00011845519475173205, 1.6568941418881877e-06, 0.3783149719238281]"
26,"leader behaviors group cohesion and participation in a walking group program Introduction Less than half of all U.S. adults meet the 2008 Physical Activity Guidelines. Leader behaviors and group cohesion have been associated with increased participation or adherence in sports team and exercise class settings. Physical activity interventions in community settings that encompass these factors may enhance intervention adherence. The purpose of this study is to examine the impact of Community Health Promoter leader behaviors and group cohesion on participation in a walking group intervention among racially/ethnically diverse adults in low to moderate–income communities in Detroit, Michigan. Design Data for the current study were drawn from the Walk Your Heart to Health (WYHH) data set. WYHH was a multisite cluster RCT with a lagged intervention and outcome measurements at baseline and 4, 8, and 32 weeks. Pooled survey data from both intervention arms were used for the current study. Data were analyzed between August 2013 and October 2014. Setting/participants A total of 603 non-Hispanic black, non-Hispanic white, and Hispanic adults across five cohorts that began the 32-week WYHH intervention between March 2009 and October 2011. Intervention The intervention was a 32-week walking group program hosted by community- and faith-based organizations and facilitated by Community Health Promoters. Walking groups met three times per week for 90 minutes per session. To promote participation in or adherence to WYHH, Community Health Promoters used evidence-based strategies to facilitate group cohesion. Group members assumed increasing leadership responsibility for facilitating sessions over time. Main outcome measures Participation in WYHH as measured by consistency of attendance. Results Community Health Promoter leader behaviors were positively associated with participation in WYHH. Social but not task cohesion was significantly associated with consistent participation. Social cohesion may mediate the relationship between leader behaviors and walking group participation. Conclusions Providing leaders with training to build socially cohesive groups may help motivate individuals to continue participation in community-based physical activity programs.","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0, 1, 0, 0, 0, 0, 1, 0, 1]","[0.009199416264891624, 0.9999982118606567, 1.0370324616815196e-06, 4.971192902303301e-05, 5.883532026018656e-07, 0.0002011997567024082, 0.999998927116394, 5.918085435041576e-07, 0.9995959401130676]"
