,Text,Ground truth,Prediction,Probability
10,"strategies to encourage mammography use among women in senior citizens housing facilities journal of cancer education Abstract Background. This randomized trial evaluated the impact of mammography‐enhancing interventions implemented in 40 senior citizens’ housing facilities in Pennsylvania and North Carolina. Methods. After stratification of the facilities according to the socioeconomic status and racial backgrounds of their residents, they were randomly assigned to one of four groups to receive the following: 1) standard care—a Medicare mammography benefit flier; 2) education— the flier and a community education program; 3) access—the flier, mammography appointments, and transportation; 4) combined—all interventions. Telephone surveys, conducted prior to any intervention, identified mammography‐eligible women, who were re‐surveyed six months later to ascertain mammography use. Results. Logistic regression analyses identified mammography intention, age, and the interaction between ever having had mammography and being in the combined intervention group to be significant predictors of mammography use at six months. Howeve...","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.06289993226528168, 0.8399958610534668, 0.028299568220973015, 0.22049687802791595, 0.03518418222665787, 0.2974114716053009, 0.9972606897354126, 0.05677931755781174, 0.6695075631141663]"
11,nan,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
12,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
13,"dancers in the dark scientific careers according to a gender blind model of promotion interdisciplinary science reviews AbstractThe disparity between men and women in science is a hot topic in gender studies and a relevant target of scientific policies. The leaky pipeline metaphor illustrates the decreasing number of women along senior positions in academia; however many questions remain unanswered. What factors progressively diminish the number of women in scientific careers and why do they appear to be less successful than their male colleagues? In order to discover new insight, this work compares men’s and women’s career paths by taking into account academic and family milestones achieved throughout the life course. An innovative and interdisciplinary methodology (from bibliometrics, statistics, and sociology) has been constructed to examine men’s and women’s trajectories. Findings display gender differences in scientists’ trajectories. The evolution of scientists’ careers reveals linear careers for males, whilst women develop non-linear careers. Motherhood emerges as a problem for developing linear careers. And collegi...","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0690741315484047, 0.038258813321590424, 0.025859735906124115, 0.9818951487541199, 0.012401864863932133, 0.010508946143090725, 0.02769647352397442, 0.02404739148914814, 0.024418579414486885]"
14,nan,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
15,"peer and community leader education to prevent youth violence american journal of preventive medicine The program described here tests the effectiveness of a community-based and school-based program to reduce violence among African-American and Hispanic adolescents. The program methods are based on social network theory research, which has found that key lay people in communities can be identified and trained to carry out prevention programs. The educational content is based on theories suggesting that characteristics of healthy, adaptive individuals and communities can be taught. A violence-prevention leadership program is provided to a cohort of middle-school student peer leaders and their parents and for the leaders of the neighborhoods around the middle schools. Three matched pairs of urban middle-school attendance zones were randomly assigned to receive either the intervention or serve as a nonintervention control group. Surveys, interviews, and observations were conducted with the peer leaders, their parents, community leaders, and community residents. Sixty-six percent of the peer leaders reported that they had hit someone in the past 30 days. Twenty-six percent of the sixth-graders had punched or beaten someone in the past 30 days. Within the past year, 6% of the adults had slapped or kicked someone. Within the past 30 days, 14% of the sixth-graders had been punched or beaten. Within the past year, 6% of the adults had been punched or beaten. A large percentage of adolescents are victims and perpetrators of violence and are exposed to violence in their neighborhoods. Violence-prevention strategies can be implemented through collaborations among health departments, community-based organizations, universities, and schools.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.707421064376831, 0.9132966995239258, 0.013234796933829784, 0.023396460339426994, 0.022887691855430603, 0.013414250686764717, 0.9339768290519714, 0.03192150220274925, 0.030596448108553886]"
16,"undercounts and overstatements will the iom report on lesbian health improve research american journal of public health In January 1999, the Institute of Medicine (IOM) released a report on lesbian health research that fulfills 3 goals: it provides an extensive review of much of the research that has been done on the health of women who have sex with other women, it addresses the methodological and ethical issues inherent in conducting research on this population, and it suggests avenues for further research. This report will likely help lesbian health researchers gain funding, publish further research in medical journals, and receive support and validation from medical and research institutions. To ensure that such research is useful, benefits the lesbian community, and expands the understanding of lesbian health conditions, particular attention needs to be paid to the methods and definitions used and to the involvement of the lesbian community in designing, implementing, and analyzing the research itself.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.021888667717576027, 0.12094344198703766, 0.05421936884522438, 0.01904061995446682, 0.13788887858390808, 0.025270074605941772, 0.058903779834508896, 0.019648022949695587, 0.9655359387397766]"
17,"promoting handwashing and sanitation evidence from a large scale randomized trial in rural tanzania social science research network The association between hygiene, sanitation, and health is well documented, yet thousands of children die each year from exposure to contaminated fecal matter. At the same time, evidence on the effectiveness of at-scale behavior change interventions to improve sanitation and hygiene practices is limited. This paper presents the results of two large-scale, government-led handwashing and sanitation promotion campaigns in rural Tanzania. For the campaign, 181 wards were randomly assigned to receive sanitation promotion, handwashing promotion, both interventions together, or neither. One year after the end of the program, sanitation wards increased latrine construction rates from 38.6 to 51 percent and reduced regular open defecation from 23.1 to 11.1 percent. Households in handwashing wards show marginal improvements in handwashing behavior related to food preparation, but not at other critical junctures. Limited interaction is observed between handwashing and sanitation on intermediate outcomes: wards that received both handwashing and sanitation promotion are less likely to have feces visible around their latrine and more likely to have a handwashing station close to their latrine facility relative to individual treatment groups. Final health effects on child health measured through diarrhea, anemia, stunting, and wasting are absent in the single-intervention groups. The combined-treatment group produces statistically detectable, but biologically insignificant and inconsistent, health impacts. The results highlight the importance of focusing on intermediate outcomes of take-up and behavior change as a critical first step in large-scale programs before realizing the changes in health that sanitation and hygiene interventions aim to deliver.","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[0.9950439929962158, 0.08819011598825455, 0.9633392691612244, 0.9145660400390625, 0.635040283203125, 0.9793831706047058, 0.3076498508453369, 0.35134169459342957, 0.13761134445667267]"
18,nan,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
19,physical education and femininity educational research Summary Educationalists have voiced concern for a number of years about the differentiated response of boys and girls to physical education in the secondary school. The bulk of research has indicated that boys’ attitudes towards the subject tend to be more positive and that participation (in both curricular and extra‐curricular activities) is generally looked upon as being more readily compatible with prevailing notions of masculinity than femininity. In this paper we present the findings of a recent survey which suggests that girls may now be less likely than in the recent past to perceive PE as a ‘masculine’ subject.’,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.043341848999261856, 0.03749539330601692, 0.05398787930607796, 0.974420428276062, 0.019806958734989166, 0.014252017252147198, 0.07218613475561142, 0.018978986889123917, 0.06502676010131836]"
20,"barriers to racial ethnic minority application and competition for nih research funding journal of the national medical association Data from both the concept mapping and the meeting discussions suggest the need to use a multilevel approach to increase minority representation among funded NIH investigators. Specifically, the NIH should use strategies that overcome barriers at the home institution, within NIH and at the investigator level.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.015346049331128597, 0.990861177444458, 0.022511787712574005, 0.0750960111618042, 0.02679266594350338, 0.026879407465457916, 0.05741718038916588, 0.02083566226065159, 0.05104285851120949]"
21,nan,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
22,"hiv prevention with male prostitutes and patrons of hustler bars replication of an hiv preventive intervention american journal of community psychology The core objectives of this study were to document the process by which a community-based organization replicated and adapted an experimentally developed intervention to its own use and to explore the effectiveness of that HIV prevention program for male prostitutes and other patrons in New York City “hustler” bars. The intervention model employed was based on previous research with gay men (Kelly, St. Lawrence, Diaz, et al., 1991; Kelly, St. Lawrence, Stevenson, et al., 1992) and inspired by diffusion of innovation theory (Rogers, 1995). The effects of the current intervention were assessed on a sample of 1,741 male prostitutes and bar patrons. Analyses indicated significant reductions in paid, unprotected sexual intercourse and oral sex following the intervention. Analyses further indicated that the data were partially consistent with the program s model, which specified that norms were the putative mediator of behavior change in the intervention. Also, the intervention s effects varied by bar and by participants race/ethnicity. Data support the utility of the intervention model for an urban sample of men at high risk for HIV infection. The importance of exploring the mechanisms that underlie the intervention is discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.02184666506946087, 0.9254867434501648, 0.04458815976977348, 0.8703160881996155, 0.02972114086151123, 0.10373678803443909, 0.014372198842465878, 0.021275078877806664, 0.8716500997543335]"
23,"understanding the relationship between parental income and multiple child outcomes a decomposition analysis the centre for market and public organisation In this paper we explore the association between family income and children’s cognitive ability (IQ and school performance), socio-emotional outcomes (self esteem, locus of control and behavioural problems) and physical health (risk of obesity). We develop a decomposition technique that allows us to compare the relative importance of the adverse family characteristics and home environments of low income children in accounting for different outcomes. Using rich cohort data from the UK we find that poor children are disadvantaged at age 7 to 9 across the full spectrum of outcomes, the gradient being strongest for cognitive outcomes and weakest for physical health. We find that some aspects of environment appear to be associated with the full range of outcomes - for example, maternal smoking and breastfeeding, child nutrition, parental psychological functioning. We also find some some aspects of the environment of higher income households hinder child development. We conclude that many aspects of growing up in poverty are harmful to children’s development, and that narrowly-targeted interventions are unlikely to have a significant impact on intergenerational mobility.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.06031031534075737, 0.12288679927587509, 0.011585975997149944, 0.11403284221887589, 0.021425476297736168, 0.023643046617507935, 0.9883888959884644, 0.042924825102090836, 0.062981978058815]"
24,"an early community based intervention for the prevention of substance abuse and other delinquent behavior journal of youth and adolescence This paper presents the results of an evaluation of an early intervention, risk-reduction strategy versus a standard intervention approach in the treatment of inner-city youth at high risk of adopting a deviant lifestyle. It examines baseline and 1-year follow-up information provided by 408 youth admitted to 2 community-based Baltimore City “Youth Bureaus” offering counseling services for neighborhood youth referred for delinquent and other problematic behavior. In the study, one of these bureaus served as the experimental intervention clinic and the other as the control, or standard intervention, clinic. Outcome measures involved substance abuse; sexual activity; contact with juvenile authorities; and delinquent activity, including violence-related activity. Regression analyses of outcome measures revealed significant differential results for delinquent activity, which favored the experimental intervention. Relationships between risk/protective factors and outcome are discussed.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.48264724016189575, 0.13207492232322693, 0.017894502729177475, 0.051954276859760284, 0.01729709655046463, 0.007742630317807198, 0.47495588660240173, 0.010210385546088219, 0.8325902223587036]"
25,"primary care trusts involving the community is community development the way forward journal of management in medicine Patient and user involvement is central to current government thinking on the NHS. More comprehensive approaches to organised community participation and community development have received less support and examples of effective and genuine participation in key areas such as primary care decision‐making are rare. The initiative described in this paper was established in Newcastle upon Tyne in 1995 to promote community participation in decision‐making about local health services. It has particular relevance to current concerns about addressing social exclusion and tackling health inequalities since it operates in an area of social disadvantage with a significant black and ethnic minority population (6 percent). This case study is based on an independent evaluation which used multiple research methods, including interviews, questionnaire surveys and direct observation, to assess the project’s practice and impact. Describes a community development approach to public participation. An emphasis on inclusive practices has facilitated meaningful involvement of minority groups such as ethnic minority residents and those with disabilities who tend to be marginalised in public debate. Argues that the project has made a significant impact on the ways in which local health services are planned and delivered.","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.09409058839082718, 0.995783805847168, 0.03412238880991936, 0.06362756341695786, 0.05264422670006752, 0.04288212209939957, 0.8064247965812683, 0.025943459942936897, 0.5669436454772949]"
26,"leader behaviors group cohesion and participation in a walking group program american journal of preventive medicine Introduction Less than half of all U.S. adults meet the 2008 Physical Activity Guidelines. Leader behaviors and group cohesion have been associated with increased participation or adherence in sports team and exercise class settings. Physical activity interventions in community settings that encompass these factors may enhance intervention adherence. The purpose of this study is to examine the impact of Community Health Promoter leader behaviors and group cohesion on participation in a walking group intervention among racially/ethnically diverse adults in low to moderate–income communities in Detroit, Michigan. Design Data for the current study were drawn from the Walk Your Heart to Health (WYHH) data set. WYHH was a multisite cluster RCT with a lagged intervention and outcome measurements at baseline and 4, 8, and 32 weeks. Pooled survey data from both intervention arms were used for the current study. Data were analyzed between August 2013 and October 2014. Setting/participants A total of 603 non-Hispanic black, non-Hispanic white, and Hispanic adults across five cohorts that began the 32-week WYHH intervention between March 2009 and October 2011. Intervention The intervention was a 32-week walking group program hosted by community- and faith-based organizations and facilitated by Community Health Promoters. Walking groups met three times per week for 90 minutes per session. To promote participation in or adherence to WYHH, Community Health Promoters used evidence-based strategies to facilitate group cohesion. Group members assumed increasing leadership responsibility for facilitating sessions over time. Main outcome measures Participation in WYHH as measured by consistency of attendance. Results Community Health Promoter leader behaviors were positively associated with participation in WYHH. Social but not task cohesion was significantly associated with consistent participation. Social cohesion may mediate the relationship between leader behaviors and walking group participation. Conclusions Providing leaders with training to build socially cohesive groups may help motivate individuals to continue participation in community-based physical activity programs.","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0.05766687169671059, 0.9588941931724548, 0.057881440967321396, 0.9131289720535278, 0.03145165741443634, 0.8300195932388306, 0.9849345684051514, 0.19511307775974274, 0.8516290783882141]"
